total_return_pct,buy_hold_return_pct,alpha_pct,ann_return_pct,ann_volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,total_costs_usd,total_fees_usd,total_slippage_usd,final_equity,symbol,timeframe,strategy,strategy_key,split_date,leverage
235.21999815570283,-61.62489196197072,296.8448901176736,683.2818162494998,100.8520136697619,6.775093440244968,6.087523072968283,15.842296723033439,-43.130224625578585,43,48.837209302325576,14.485227937400957,-6.759790076576912,2.0454493895619117,3.615683837226232,87.75,13.0,16.25,1676.0999907785142,ATOM/USDT,4h,Composite Signal,composite,2025-09-11,3
-8.096744567384784,-61.62489196197072,53.528147394585936,-13.383089472502085,61.09452172893892,-0.21905547492260433,-0.1273412591543772,-0.22881469652063913,-58.48876700668975,15,33.33333333333333,18.351265148876355,-8.336779201296737,1.1006207976590006,0.5592355820942954,16.200000000000003,2.4000000000000004,3.0,459.5162771630761,ATOM/USDT,4h,Momentum Reversal + MTF Filter,momentum_reversal_mtf,2025-09-11,3
-38.00327961482871,-61.62489196197072,23.62161234714201,-55.6709907548528,147.61017438331027,-0.37714873644338237,-0.43996772678960816,-0.8634121127384676,-64.47788944989686,62,40.32258064516129,9.773013908683993,-6.281870378402102,1.051181794333285,0.19187328574551613,132.3,19.6,24.5,309.9836019258564,ATOM/USDT,4h,Volatility Breakout + MTF Filter,volatility_breakout_mtf,2025-09-11,3
94.42370896912774,-61.62489196197072,156.04860093109846,209.98796496672614,75.5822013007386,2.7782726799817894,2.0358408896913933,7.566265045603823,-27.753186506297983,28,46.42857142857143,12.451561372072515,-5.301921149429413,2.0353665935395635,2.9407671641250532,63.45000000000001,9.4,11.75,972.1185448456388,ATOM/USDT,4h,Composite Signal + MTF Filter,composite_mtf,2025-09-11,3
234.04652150025083,-52.19910455622884,286.2456260564797,678.621726414627,203.06282302523323,3.3419299323456135,5.553315381304258,9.535311936764712,-71.16932628057056,38,44.73684210526316,26.37201752082018,-7.538231631752505,2.83206687339744,7.632142989135277,32.400000000000006,4.800000000000001,6.0,1670.232607501254,LTC/USDT,4h,Mean-Reversion (RSI + BB),mean_reversion,2025-09-11,3
-71.97765826231533,-52.19910455622884,-19.778553706086488,-88.52226972460089,109.73258647039692,-0.8067090421538725,-0.7434943849771634,-1.0442539961553607,-84.77082208975413,56,35.714285714285715,9.782899439195411,-7.856350828580343,0.6917898973038157,-1.5566185900890017,106.65,15.8,19.75,140.1117086884234,LTC/USDT,4h,Volatility Breakout (ATR + Vol),volatility_breakout,2025-09-11,3
-38.9844243140353,-52.19910455622884,13.214680242193532,-56.85811510767096,86.71804508122234,-0.6556664769646986,-0.37990400489588183,-0.9685769082402775,-58.70273658595835,15,26.666666666666668,10.236865902913927,-5.69669782954406,0.6534481559936689,-1.4477475008885965,29.700000000000003,4.4,5.5,305.0778784298235,LTC/USDT,4h,Trend-Following (EMA + ADX),trend_following,2025-09-11,3
271.5419447798331,-52.19910455622884,323.74104933606196,833.132740786654,122.40971899876487,6.806099610399894,6.232112544439711,24.68114972155658,-33.75583188732062,24,50.0,21.23921018005226,-6.7738185908740185,3.1354855308151657,7.232695794589122,32.400000000000006,4.800000000000001,6.0,1857.7097238991655,LTC/USDT,4h,Momentum Reversal (ROC + S/R),momentum_reversal,2025-09-11,3
236.36400207222303,-52.19910455622884,288.56310662845186,687.8358963685862,122.79671729049602,5.601419252449528,6.1322358172729725,19.110289573793093,-35.992960426505014,37,45.94594594594595,16.119648383221946,-5.87593977356974,2.3318314437750987,4.2301412714426565,75.60000000000001,11.200000000000001,14.0,1681.8200103611152,LTC/USDT,4h,Composite Signal,composite,2025-09-11,3
-14.506239177504444,-52.19910455622884,37.69286537872439,-23.409050332528146,50.627424712008306,-0.4623788483354509,-0.1713752772447697,-0.8129049606241131,-28.796786176031812,10,40.0,8.057705609546346,-7.466564504372986,0.7194478446615481,-1.2568564588052522,13.5,2.0,2.5,427.4688041124778,LTC/USDT,4h,Momentum Reversal + MTF Filter,momentum_reversal_mtf,2025-09-11,3
